id,language,user_agent,browser_language,created_at,device_type,ip,city,country,latitude,longitude,region,operating_system,raw_request_body,referrer,color_depth,height,width,time_zone,profile_id
4067,en-US,Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Mobile Safari/537.36,en-US,2024-10-23 02:16:02.970675,Tablet,104.243.213.69,Newark,US,40.7357,-74.1724,New Jersey,Linux,,,24,511,566,Africa/Nairobi,2354
4070,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36,en-US,2024-10-23 02:25:44.070816,Desktop,104.243.213.69,Newark,US,40.7357,-74.1724,New Jersey,Windows,,http://localhost:3000/en/dashboard/profile,24,768,1366,Africa/Nairobi,2355
4081,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36,en-US,2024-10-23 04:12:16.620117,Desktop,196.191.223.8,Addis Ababa,ET,9.0250,38.7469,Addis Ababa,Windows,,http://localhost:3000/en/dashboard/accountant-clients,24,768,1366,Africa/Nairobi,2357
4082,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36,en-US,2024-10-23 04:14:58.292379,Desktop,196.191.223.8,Addis Ababa,ET,9.0250,38.7469,Addis Ababa,Windows,,http://localhost:3000/en/dashboard/accountant-clients,24,768,1366,Africa/Nairobi,2358
4093,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36,en-US,2024-10-23 07:20:46.582600,Desktop,146.70.63.149,New York City,US,40.7143,-74.0060,New York,Windows,,https://dev.pamifactura.com/es/dashboard/lawyer-clients,24,768,1366,Africa/Nairobi,2360
4097,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36,en-US,2024-10-23 07:26:47.264258,Desktop,146.70.63.149,New York City,US,40.7143,-74.0060,New York,Windows,,http://localhost:3000/en/dashboard/company,24,768,1366,Africa/Nairobi,2356
4162,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36,en-US,2024-10-23 15:51:56.111277,Desktop,196.189.144.53,Addis Ababa,ET,9.0250,38.7469,Addis Ababa,Windows,,http://localhost:3000/es/dashboard/company,24,768,1366,Africa/Nairobi,2402
4277,en-US,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36,en-US,2024-10-24 14:18:15.523465,Desktop,102.90.66.172,Enugu,NG,6.4413,7.4988,Enugu State,MacOS,,https://dev.pamifactura.com/es/login,30,1050,1680,Africa/Lagos,3
4279,en-US,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36,en-US,2024-10-24 14:22:10.529029,Desktop,102.90.66.172,Enugu,NG,6.4413,7.4988,Enugu State,MacOS,,https://dev.pamifactura.com/es/login,30,1050,1680,Africa/Lagos,2452
4283,es-ES,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36,es-ES,2024-10-24 14:55:10.868571,Desktop,152.201.119.232,Bogotá,CO,4.6097,-74.0817,Bogota D.C.,Windows,,,24,768,1366,America/Bogota,2454
4287,es-MX,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36,es-MX,2024-10-24 17:24:54.880355,Desktop,177.234.223.151,Guayaquil,EC,-2.1962,-79.8862,Guayas,Windows,,,24,768,1366,America/Guayaquil,2453
4296,en-US,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36,en-US,2024-10-24 21:31:18.716174,Desktop,102.218.51.12,Addis Ababa,ET,9.0250,38.7469,Addis Ababa,UNIX,,,24,1080,1920,Africa/Nairobi,252
4368,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36,en-US,2024-10-25 17:20:00.571889,Desktop,202.47.36.62,Karachi,PK,24.8608,67.0104,Sindh,Windows,,http://localhost:3000/en/dashboard/Items,24,1080,1920,Asia/Karachi,4
4423,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36,en-US,2024-10-26 14:22:58.864848,Desktop,196.190.61.119,Addis Ababa,ET,9.0250,38.7469,Addis Ababa,Windows,,http://localhost:3000/en/dashboard/accountant-clients,24,768,1366,Africa/Nairobi,1003
4776,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36,en-US,2024-10-30 10:55:26.943635,Desktop,72.255.42.121,Gujranwala,PK,32.1557,74.1870,Punjab,Windows,,,24,768,1366,Asia/Karachi,309
4856,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36,en-US,2024-10-30 18:01:49.997604,Desktop,102.213.69.169,Addis Ababa,ET,9.0250,38.7469,Addis Ababa,Windows,,http://localhost:3000/en/session-expired,24,864,1536,Africa/Nairobi,2654
5103,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36,en-US,2024-11-01 18:56:32.310932,Desktop,202.47.36.62,Karachi,PK,24.8608,67.0104,Sindh,Windows,,http://localhost:3000/en/session-expired,24,864,1536,Asia/Karachi,2754
5132,en-US,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36,en-US,2024-11-02 16:06:09.712856,Desktop,196.189.144.50,Addis Ababa,ET,9.0250,38.7469,Addis Ababa,UNIX,,,24,864,1536,Africa/Addis_Ababa,203
5273,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36,en-US,2024-11-04 18:26:57.600258,Desktop,154.57.218.25,Karachi,PK,24.8608,67.0104,Sindh,Windows,,,24,768,1366,Asia/Karachi,2802
5303,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36,en-US,2024-11-05 09:02:39.563061,Desktop,202.47.36.62,Karachi,PK,24.8608,67.0104,Sindh,Windows,,,24,1080,1920,Asia/Karachi,2804
5304,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36,en-US,2024-11-05 09:04:04.699572,Desktop,202.47.36.62,Karachi,PK,24.8608,67.0104,Sindh,Windows,,,24,1080,1920,Asia/Karachi,2803
5359,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36,en-US,2024-11-05 10:10:53.860747,Desktop,202.47.36.62,Karachi,PK,24.8608,67.0104,Sindh,Windows,,,24,1080,1920,Asia/Karachi,2805
5365,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36,en-US,2024-11-05 10:22:12.066862,Desktop,202.47.36.62,Karachi,PK,24.8608,67.0104,Sindh,Windows,,,24,1080,1920,Asia/Karachi,2852
5378,en-US,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6 Safari/605.1.15,en-US,2024-11-05 11:21:04.557970,Desktop,196.20.219.12,Port Louis,MU,-20.1619,57.4989,Port Louis,MacOS,,,24,956,1470,Indian/Mauritius,2854
5428,en-US,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6 Safari/605.1.15,en-US,2024-11-05 20:11:33.638711,Desktop,196.20.185.189,Port Louis,MU,-20.1619,57.4989,Port Louis,MacOS,,https://dev.pamifactura.com/en,24,956,1470,Indian/Mauritius,2853
5522,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36,en-US,2024-11-07 07:39:57.925612,Desktop,196.189.144.244,Addis Ababa,ET,9.0250,38.7469,Addis Ababa,Windows,,https://dev.pamifactura.com/en/login,24,768,1366,Africa/Nairobi,2359
5619,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36,en-US,2024-11-07 12:39:17.105143,Desktop,202.47.36.62,Karachi,PK,24.8608,67.0104,Sindh,Windows,,,24,1080,1920,Asia/Karachi,2952
5804,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36,en-US,2024-11-07 21:44:37.613325,Desktop,202.47.51.112,Karachi,PK,24.8608,67.0104,Sindh,Windows,,http://localhost:3000/en/session-expired,24,864,1536,Asia/Karachi,3003
5827,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36,en-US,2024-11-08 07:15:33.419407,Desktop,23.249.172.87,New York City,US,40.7490,-73.9865,New York,Windows,,https://dev.pamifactura.com/en/session-expired,24,768,1366,Africa/Nairobi,2254
5914,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36,en-US,2024-11-08 13:33:48.185042,Desktop,37.19.221.239,Houston,US,29.7633,-95.3633,Texas,Windows,,https://dev.pamifactura.com/en/dashboard/company,24,960,1707,America/New_York,3052
5940,en-GB,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36,en-GB,2024-11-08 15:07:19.045902,Desktop,196.191.221.63,Addis Ababa,ET,9.0250,38.7469,Addis Ababa,Windows,,http://localhost:3000/en/dashboard/company,24,864,1536,Africa/Nairobi,2503
6052,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0,en-US,2024-11-09 13:47:44.689060,Desktop,102.218.51.211,Addis Ababa,ET,9.0250,38.7469,Addis Ababa,Windows,,https://dev.pamifactura.com/en/session-expired,24,864,1536,Africa/Nairobi,3102
6314,en-US,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36,en-US,2024-11-11 10:52:51.951335,Desktop,154.121.30.112,Algiers,DZ,36.7323,3.0875,Algiers,UNIX,,http://localhost:3000/es/dashboard/company,24,1080,1920,UTC,953
6892,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36,en-US,2024-11-13 09:46:10.055582,Desktop,202.47.36.62,Karachi,PK,24.8608,67.0104,Sindh,Windows,,,24,1080,1920,Asia/Karachi,3352
7220,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36,en-US,2024-11-13 17:32:14.085982,Desktop,196.189.144.131,Addis Ababa,ET,9.0250,38.7469,Addis Ababa,Windows,,http://localhost:3000/en/login,24,720,1280,Africa/Nairobi,3452
7235,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36,en-US,2024-11-13 18:16:06.772012,Desktop,175.107.215.10,Karachi,PK,24.8608,67.0104,Sindh,Windows,,http://localhost:3000/en/session-expired,24,768,1366,Asia/Karachi,3155
7445,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-US,2024-11-14 13:55:40.912628,Desktop,202.47.36.62,Karachi,PK,24.8608,67.0104,Sindh,Windows,,,24,864,1536,Asia/Karachi,3504
7467,en-GB,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36,en-GB,2024-11-14 14:47:54.614203,Desktop,119.73.112.14,Lahore,PK,31.5580,74.3507,Punjab,Windows,,,24,864,1536,Asia/Karachi,55
7474,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36,en-US,2024-11-14 16:03:31.465106,Desktop,96.32.119.18,Newtown,US,41.4140,-73.3034,Connecticut,Windows,,,24,960,1707,America/New_York,53
7475,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36,en-US,2024-11-14 16:04:52.952293,Desktop,96.32.119.18,Newtown,US,41.4140,-73.3034,Connecticut,Windows,,,24,960,1707,America/New_York,3506
7581,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36,en-US,2024-11-15 15:21:10.810484,Desktop,182.48.82.243,Dhaka,BD,23.7104,90.4074,Dhaka Division,Windows,,http://localhost:3000/en/dashboard/quote/request-quotes,24,1080,1920,Asia/Dhaka,3503
7714,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36,en-US,2024-11-17 08:04:04.123369,Desktop,94.247.224.6,Kyiv,UA,50.4547,30.5238,Kyiv City,Windows,,,24,720,1280,Europe/Kiev,2652
7780,en-GB,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0,en-GB,2024-11-17 20:26:14.333849,Desktop,196.191.61.155,Addis Ababa,ET,9.0250,38.7469,Addis Ababa,Windows,,,24,768,1366,Africa/Nairobi,3602
8048,en-GB,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-GB,2024-11-19 12:39:29.320326,Desktop,196.191.61.97,Addis Ababa,ET,9.0250,38.7469,Addis Ababa,Windows,,,24,864,1536,Africa/Nairobi,258
8363,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-US,2024-11-20 11:17:08.936126,Desktop,182.48.82.243,Dhaka,BD,23.7104,90.4074,Dhaka Division,Windows,,,24,1080,1920,Asia/Dhaka,1702
8364,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-US,2024-11-20 11:17:23.067086,Desktop,182.48.82.243,Dhaka,BD,23.7104,90.4074,Dhaka Division,Windows,,,24,1080,1920,Asia/Dhaka,402
8374,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-US,2024-11-20 11:47:50.632592,Desktop,202.47.36.62,Karachi,PK,24.8608,67.0104,Sindh,Windows,,http://localhost:3000/en/session-expired,24,864,1536,Asia/Karachi,107
8499,es-MX,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,es-MX,2024-11-20 17:08:21.116294,Desktop,177.234.223.151,Guayaquil,EC,-2.1962,-79.8862,Guayas,Windows,,https://dev.pamifactura.com/es/session-expired,24,768,1366,America/Guayaquil,1303
8517,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-US,2024-11-20 20:58:34.784396,Desktop,196.189.144.12,Addis Ababa,ET,9.0250,38.7469,Addis Ababa,Windows,,http://localhost:3000/en/dashboard/quote/view-quote?quoteId=853&activeTab=1,24,864,1536,Africa/Nairobi,2702
8576,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-US,2024-11-21 20:37:24.619370,Desktop,175.107.215.10,Karachi,PK,24.8608,67.0104,Sindh,Windows,,,24,768,1366,Asia/Karachi,3703
8888,en-US,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-US,2024-11-22 07:45:26.305609,Desktop,39.52.146.58,Sialkot,PK,32.4927,74.5313,Punjab,MacOS,,,24,900,1440,Asia/Karachi,206
9035,es-ES,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36,es-ES,2024-11-22 15:39:48.361973,Desktop,186.119.108.86,Bogotá,CO,4.6097,-74.0817,Bogota D.C.,Windows,,https://dev.pamifactura.com/es/session-expired,24,768,1366,America/Bogota,1302
9113,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-US,2024-11-22 18:28:09.864378,Desktop,202.47.36.62,Karachi,PK,24.8608,67.0104,Sindh,Windows,,https://dev.pamifactura.com/en/session-expired,24,900,1600,Asia/Karachi,3302
9167,en-US,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36,en-US,2024-11-23 18:28:16.023489,Desktop,196.189.152.83,Addis Ababa,ET,9.0250,38.7469,Addis Ababa,UNIX,,,24,1080,1920,Africa/Nairobi,254
9168,en-US,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-US,2024-11-23 18:34:40.527126,Desktop,197.156.71.66,Addis Ababa,ET,9.0250,38.7469,Addis Ababa,UNIX,,,24,768,1366,Africa/Addis_Ababa,3752
9188,en-GB,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-GB,2024-11-24 13:28:54.465902,Desktop,223.123.14.134,Islamabad,PK,33.7215,73.0433,Islamabad,Windows,,http://localhost:3000/es/session-expired,24,720,1280,Asia/Karachi,2752
9221,en-US,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-US,2024-11-24 15:44:33.977943,Tablet,139.135.43.134,Lahore,PK,31.5580,74.3507,Punjab,MacOS,,http://localhost:3000/en/session-expired,24,1280,2048,Asia/Karachi,1353
9231,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0,en-US,2024-11-24 16:55:49.778179,Desktop,41.227.177.195,Tunis,TN,36.8190,10.1658,Tunis Governorate,Windows,,https://dev.pamifactura.com/es/session-expired,24,1080,1920,Africa/Lagos,205
9318,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-US,2024-11-25 08:06:34.652411,Desktop,39.52.178.215,Sialkot,PK,32.4927,74.5313,Punjab,Windows,,http://localhost:3000/en/dashboard/company,24,768,1366,Asia/Karachi,207
9319,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-US,2024-11-25 08:06:48.208602,Desktop,39.52.178.215,Sialkot,PK,32.4927,74.5313,Punjab,Windows,,http://localhost:3000/en/dashboard/company,24,768,1366,Asia/Karachi,902
9330,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-US,2024-11-25 13:14:40.889904,Desktop,175.107.215.10,Karachi,PK,24.8608,67.0104,Sindh,Windows,,http://localhost:3000/en/session-expired,24,768,1366,Asia/Karachi,3702
9358,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-US,2024-11-25 15:05:35.669609,Desktop,175.107.215.10,Karachi,PK,24.8608,67.0104,Sindh,Windows,,http://localhost:3000/en/session-expired,24,768,1366,Asia/Karachi,3853
9620,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-US,2024-11-26 15:51:44.698564,Desktop,154.57.218.7,Karachi,PK,24.8608,67.0104,Sindh,Windows,,https://temp-mail.org/,24,1080,1920,Asia/Karachi,4053
9702,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-US,2024-11-26 16:54:03.665565,Desktop,176.113.164.117,Kyiv,UA,50.4547,30.5238,Kyiv City,Windows,,https://dev.pamifactura.com/en/session-expired,24,720,1280,Europe/Kiev,5
9894,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-US,2024-11-27 12:41:52.481466,Desktop,196.189.127.133,Addis Ababa,ET,9.0250,38.7469,Addis Ababa,Windows,,,24,720,1280,Africa/Nairobi,3552
9961,en-US,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36,en-US,2024-11-27 11:10:38.431877,Desktop,96.32.119.18,Newtown,US,41.4140,-73.3034,Connecticut,Windows,,https://dev.pamifactura.com/en/session-expired,24,960,1707,America/New_York,1102
