id,code,name,canton_id
317,6,SAN JOSÉ DE LA MONTAÑA,47
318,7,Puente Salas,47
319,1,SANTO DOMINGO,48
320,2,SAN VICENTE,48
321,3,SAN MIGUEL,48
322,4,PARACITO,48
323,5,SANTO TOMÁS,48
324,6,SANTA ROSA,48
325,7,TURES,48
326,8,PARÁ,48
327,1,SANTA BÁRBARA,49
328,2,SAN PEDRO,49
329,3,SAN JUAN,49
330,4,JESÚS,49
331,5,SANTO DOMINGO,49
332,6,PURABÁ,49
333,1,SAN RAFAEL,50
334,2,SAN JOSECITO,50
335,3,SANTIAGO,50
336,4,ÁNGELES,50
337,5,CONCEPCIÓN,50
338,1,SAN ISIDRO,51
339,2,SAN JOSÉ,51
340,2,San José ,51
341,3,CONCEPCIÓN,51
342,4,SAN FRANCISO,51
343,4,San Francisco,51
344,1,SAN ANTONIO,52
345,2,LA RIBERA,52
346,3,LA ASUNCION,52
347,3,Asunción,52
348,1,SAN JOAQUÍN,53
349,2,BARRANTES,53
350,3,LLORENTE,53
351,1,SAN PABLO,54
352,2,RINCON DE SABANILLA,54
353,1,PUERTO VIEJO,55
354,1,Puerto Viejo  ,55
355,2,LA VIRGEN,55
356,3,LAS HORQUETAS,55
357,3,Horquetas,55
358,4,LLANURAS DEL GASPAR,55
359,5,CUREÑA,55
360,1,LIBERIA,56
361,2,CAÑAS DULCES,56
362,3,MAYORGA,56
363,4,NACASCOLO,56
364,5,CURUBANDÉ,56
365,1,NICOYA,57
366,2,MANSIÓN,57
367,3,SAN ANTONIO,57
368,4,QUEBRADA HONDA,57
369,5,SÁMARA,57
370,6,NOSARA,57
371,7,BELÉN DE NOSARITA,57
372,1,SANTA CRUZ,58
373,2,BOLSÓN,58
374,3,VEINTISIETE DE ABRIL,58
375,4,TEMPATE,58
376,5,CARTAGENA,58
377,6,CUAJINIQUIL,58
378,7,DIRIÁ,58
379,8,CABO VELAS,58
380,9,TAMARINDO,58
381,1,BAGACES,59
382,2,LA FORTUNA,59
383,2,Fortuna,59
384,3,MOGOTE ,59
385,3,Mogote,59
386,4,RÍO NARANJO,59
387,1,FILADELFIA,60
388,2,PALMIRA,60
389,3,SARDINAL,60
390,4,BELÉN,60
391,1,CAÑAS,61
392,2,PALMIRA,61
393,3,SAN MIGUEL,61
394,4,BEBEDERO,61
395,5,POROZAL,61
396,1,LAS JUNTAS,62
397,2,SIERRA,62
398,3,SAN JUAN,62
399,4,COLORADO,62
400,1,TILARÁN,63
401,2,QUEBRADA GRANDE,63
402,3,TRONADORA,63
