id,language,user_agent,browser_language,created_at,device_type,ip,city,country,latitude,longitude,region,operating_system,raw_request_body,referrer,color_depth,height,width,time_zone,profile_id
7445,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",en-US,2024-11-14 13:55:40.913,Desktop,202.47.36.62,Karachi,PK,24.8608,67.0104,Sindh,Windows,,,24,864,1536,Asia/Karachi,3504
7467,en-GB,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",en-GB,2024-11-14 14:47:54.614,Desktop,119.73.112.14,Lahore,PK,31.558,74.3507,Punjab,Windows,,,24,864,1536,Asia/Karachi,55
7475,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",en-US,2024-11-14 16:04:52.952,Desktop,96.32.119.18,Newtown,US,41.414,-73.3034,Connecticut,Windows,,,24,960,1707,America/New_York,3506
7581,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",en-US,2024-11-15 15:21:10.810,Desktop,182.48.82.243,Dhaka,BD,23.7104,90.4074,Dhaka Division,Windows,,http://localhost:3000/en/dashboard/quote/request-quotes,24,1080,1920,Asia/Dhaka,3503
7714,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",en-US,2024-11-17 08:04:04.123,Desktop,94.247.224.6,Kyiv,UA,50.4547,30.5238,Kyiv City,Windows,,,24,720,1280,Europe/Kiev,2652
8499,es-MX,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",es-MX,2024-11-20 17:08:21.116,Desktop,177.234.223.151,Guayaquil,EC,-2.1962,-79.8862,Guayas,Windows,,https://dev.pamifactura.com/es/session-expired,24,768,1366,America/Guayaquil,1303
8517,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",en-US,2024-11-20 20:58:34.784,Desktop,196.189.144.12,Addis Ababa,ET,9.025,38.7469,Addis Ababa,Windows,,http://localhost:3000/en/dashboard/quote/view-quote?quoteId=853&activeTab=1,24,864,1536,Africa/Nairobi,2702
8576,en-US,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",en-US,2024-11-21 20:37:24.619,Desktop,175.107.215.10,Karachi,PK,24.8608,67.0104,Sindh,Windows,,,24,768,1366,Asia/Karachi,3703
9167,en-US,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",en-US,2024-11-23 18:28:16.023,Desktop,196.189.152.83,Addis Ababa,ET,9.025,38.7469,Addis Ababa,UNIX,,,24,1080,1920,Africa/Nairobi,254
9168,en-US,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",en-US,2024-11-23 18:34:40.527,Desktop,197.156.71.66,Addis Ababa,ET,9.025,38.7469,Addis Ababa,UNIX,,,24,768,1366,Africa/Addis_Ababa,3752
9188,en-GB,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",en-GB,2024-11-24 13:28:54.466,Desktop,223.123.14.134,Islamabad,PK,33.7215,73.0433,Islamabad,Windows,,http://localhost:3000/es/session-expired,24,720,1280,Asia/Karachi,2752
