start_id,unknown,end_id,last_notification_time,type
78,39,5,2024-11-02 19:35:12.230936,ASSOCIATED_WITH
79,40,2456,,ASSOCIATED_WITH
80,40,58,,ASSOCIATED_WITH
81,41,452,,ASSOCIATED_WITH
82,41,208,,ASSOCIATED_WITH
83,42,58,,ASSOCIATED_WITH
84,42,305,2024-11-05 19:33:25.292845,ASSOCIATED_WITH
85,43,53,2024-11-03 11:22:43.475853,ASSOCIATED_WITH
86,43,58,2024-11-03 11:22:40.609976,ASSOCIATED_WITH
87,44,307,2024-11-03 15:50:08.781812,ASSOCIATED_WITH
88,44,356,2024-11-03 15:50:11.477585,ASSOCIATED_WITH
89,45,2352,2024-11-07 10:03:56.208825,ASSOCIATED_WITH
90,45,2254,,ASSOCIATED_WITH
91,46,303,,ASSOCIATED_WITH
92,46,2254,2024-11-08 07:14:59.508745,ASSOCIATED_WITH
93,47,2854,2024-11-05 11:24:16.090429,ASSOCIATED_WITH
94,47,2853,2024-11-05 11:24:13.230333,ASSOCIATED_WITH
95,48,307,2024-11-08 06:59:33.656380,ASSOCIATED_WITH
96,48,1102,2024-11-18 10:32:12.386547,ASSOCIATED_WITH
97,49,2252,2024-11-18 13:44:49.082675,ASSOCIATED_WITH
98,49,303,,ASSOCIATED_WITH
99,50,103,,ASSOCIATED_WITH
100,50,356,2024-11-22 06:06:22.955741,ASSOCIATED_WITH
101,51,1252,,ASSOCIATED_WITH
102,51,303,,ASSOCIATED_WITH
103,52,307,,ASSOCIATED_WITH
104,52,205,,ASSOCIATED_WITH
105,53,3154,,ASSOCIATED_WITH
106,53,58,,ASSOCIATED_WITH
107,54,2553,2024-11-22 06:06:39.152163,ASSOCIATED_WITH
108,54,103,,ASSOCIATED_WITH
109,55,1452,,ASSOCIATED_WITH
110,55,58,,ASSOCIATED_WITH
111,56,4002,,ASSOCIATED_WITH
112,56,208,,ASSOCIATED_WITH
